generation,fitness,migration_step
1.0,28.984730683651836,0.0
2.0,28.984730683651836,0.0
3.0,28.984730683651836,0.0
4.0,28.984730683651836,0.0
5.0,28.984730683651836,0.0
6.0,28.984730683651836,0.0
7.0,28.984730683651836,0.0
8.0,28.984730683651836,0.0
9.0,28.984730683651836,0.0
10.0,28.984730683651836,0.0
11.0,28.984730683651836,0.0
12.0,28.984730683651836,0.0
13.0,28.984730683651836,0.0
14.0,28.984730683651836,0.0
15.0,28.984730683651836,0.0
16.0,28.984730683651836,0.0
17.0,28.984730683651836,0.0
18.0,28.984730683651836,0.0
19.0,28.984730683651836,0.0
20.0,28.984730683651836,0.0
21.0,28.984730683651836,0.0
22.0,28.984730683651836,0.0
23.0,33.72454396467753,0.0
24.0,39.014769761630646,0.0
25.0,39.014769761630646,0.0
26.0,39.014769761630646,0.0
27.0,43.02086788827803,0.0
28.0,60.38627204849596,0.0
29.0,60.38627204849596,0.0
30.0,60.38627204849596,0.0
31.0,60.38627204849596,0.0
32.0,60.38627204849596,0.0
33.0,60.38627204849596,0.0
34.0,60.38627204849596,0.0
35.0,74.1123656662028,0.0
36.0,74.1123656662028,0.0
37.0,74.1123656662028,0.0
38.0,74.1123656662028,0.0
39.0,74.1123656662028,0.0
40.0,92.92029005035312,0.0
41.0,92.92029005035312,0.0
42.0,92.92029005035312,0.0
43.0,92.92029005035312,0.0
44.0,92.92029005035312,0.0
45.0,92.92029005035312,0.0
46.0,92.92029005035312,0.0
47.0,92.92029005035312,0.0
48.0,92.92029005035312,0.0
49.0,92.92029005035312,0.0
50.0,92.92029005035312,0.0
51.0,92.92029005035312,0.0
52.0,92.92029005035312,0.0
53.0,105.19321548354856,0.0
54.0,105.19321548354856,0.0
55.0,105.19321548354856,0.0
56.0,105.19321548354856,0.0
57.0,105.19321548354856,0.0
58.0,105.19321548354856,0.0
59.0,105.19321548354856,0.0
60.0,105.42990411217467,0.0
61.0,105.42990411217467,0.0
62.0,105.42990411217467,0.0
63.0,118.30970046724332,0.0
64.0,118.30970046724332,0.0
65.0,118.30970046724332,0.0
66.0,118.30970046724332,0.0
67.0,118.30970046724332,0.0
68.0,118.30970046724332,0.0
69.0,118.30970046724332,0.0
70.0,118.4405803957829,0.0
71.0,119.27604559605383,0.0
72.0,119.27604559605383,0.0
73.0,119.27604559605383,0.0
74.0,119.27604559605383,0.0
75.0,119.27604559605383,0.0
76.0,119.27604559605383,0.0
77.0,122.91966818441047,0.0
78.0,122.91966818441047,0.0
79.0,130.0315120032652,0.0
80.0,130.0315120032652,0.0
81.0,130.0315120032652,0.0
82.0,130.0315120032652,0.0
83.0,130.0315120032652,0.0
84.0,130.0315120032652,0.0
85.0,130.0315120032652,0.0
86.0,130.0315120032652,0.0
87.0,130.0315120032652,0.0
88.0,130.0315120032652,0.0
89.0,130.0315120032652,0.0
90.0,130.0315120032652,0.0
91.0,134.62159553763863,0.0
92.0,134.62159553763863,0.0
93.0,134.62159553763863,0.0
94.0,134.62159553763863,0.0
95.0,135.15841809884947,0.0
96.0,135.15841809884947,0.0
