generation,fitness,migration_step
1.0,0.7485630174626698,0.0
2.0,12.730545741943239,0.0
3.0,58.10549853155355,0.0
4.0,78.8847138625841,0.0
5.0,79.56401514473346,0.0
6.0,107.38520691640414,0.0
7.0,109.40110010778827,0.0
8.0,111.23029416569472,0.0
9.0,119.92060747196108,0.0
10.0,119.92060747196108,0.0
11.0,119.92060747196108,0.0
12.0,122.35671490535809,0.0
13.0,122.35671490535809,0.0
14.0,122.35671490535809,0.0
15.0,127.14976408658245,0.0
16.0,127.14976408658245,0.0
17.0,128.71894224890426,0.0
18.0,129.43049952372675,0.0
19.0,131.34238934434813,0.0
20.0,133.5588880883946,0.0
21.0,133.5588880883946,0.0
22.0,133.5588880883946,0.0
23.0,133.5588880883946,0.0
24.0,133.5588880883946,0.0
25.0,133.5588880883946,0.0
26.0,134.04224717030715,0.0
27.0,134.04224717030715,0.0
28.0,134.04224717030715,0.0
29.0,134.04224717030715,0.0
30.0,134.04224717030715,0.0
31.0,134.04224717030715,0.0
32.0,134.5618286984894,0.0
33.0,135.0164832998137,0.0
34.0,135.0164832998137,0.0
35.0,135.0164832998137,0.0
36.0,135.0164832998137,0.0
37.0,135.0164832998137,0.0
38.0,135.0164832998137,0.0
39.0,135.03201979090915,0.0
40.0,135.03201979090915,0.0
41.0,135.03201979090915,0.0
42.0,135.8571362661538,0.0
43.0,135.8571362661538,0.0
44.0,135.8571362661538,0.0
45.0,135.8571362661538,0.0
46.0,135.8571362661538,0.0
47.0,135.8571362661538,0.0
48.0,135.8571362661538,0.0
49.0,135.8571362661538,0.0
50.0,135.8571362661538,0.0
51.0,135.8571362661538,0.0
52.0,135.8571362661538,0.0
53.0,135.8571362661538,0.0
54.0,135.8571362661538,0.0
55.0,135.8571362661538,0.0
56.0,135.89364780806756,0.0
57.0,135.89364780806756,0.0
58.0,135.89364780806756,0.0
59.0,135.89364780806756,0.0
60.0,135.89364780806756,0.0
61.0,135.89364780806756,0.0
62.0,135.89364780806756,0.0
63.0,135.89364780806756,0.0
64.0,135.89364780806756,0.0
65.0,135.89364780806756,0.0
66.0,136.33738152280606,0.0
67.0,136.33738152280606,0.0
68.0,136.33738152280606,0.0
69.0,136.33738152280606,0.0
70.0,136.33738152280606,0.0
71.0,136.33738152280606,0.0
72.0,136.33738152280606,0.0
73.0,136.33738152280606,0.0
74.0,136.33738152280606,0.0
75.0,136.33738152280606,0.0
76.0,136.33738152280606,0.0
77.0,136.33738152280606,0.0
78.0,136.33738152280606,0.0
79.0,136.3378939431577,0.0
80.0,136.3378939431577,0.0
81.0,136.3378939431577,0.0
82.0,136.3378939431577,0.0
83.0,136.56392647583132,0.0
84.0,136.56392647583132,0.0
85.0,136.99264232238494,0.0
86.0,136.99264232238494,0.0
87.0,136.99264232238494,0.0
88.0,136.99264232238494,0.0
89.0,136.99264232238494,0.0
90.0,136.99306327411858,0.0
91.0,136.99306327411858,0.0
92.0,136.99306327411858,0.0
93.0,136.99306327411858,0.0
94.0,136.99306327411858,0.0
95.0,136.99306327411858,0.0
96.0,136.99306327411858,0.0
97.0,136.99306327411858,0.0
98.0,136.99306327411858,0.0
99.0,136.99306327411858,0.0
100.0,136.99306327411858,0.0
101.0,136.99306327411858,0.0
102.0,136.99341113002635,0.0
103.0,136.99341113002635,0.0
104.0,136.99341113002635,0.0
105.0,136.99341113002635,0.0
106.0,136.99341113002635,0.0
107.0,136.99341113002635,0.0
108.0,136.99341113002635,0.0
109.0,136.99341113002635,0.0
110.0,136.99341113002635,0.0
111.0,136.99343359491854,0.0
112.0,137.00145566201923,0.0
113.0,137.00145566201923,0.0
114.0,137.00145566201923,0.0
115.0,137.00145566201923,0.0
116.0,137.00145566201923,0.0
117.0,137.00145566201923,0.0
118.0,137.00145566201923,0.0
119.0,138.46945245872374,0.0
120.0,138.46945245872374,0.0
121.0,138.46945245872374,0.0
122.0,138.46945245872374,0.0
123.0,138.46945245872374,0.0
124.0,138.46945245872374,0.0
125.0,138.46945245872374,0.0
126.0,138.46945245872374,0.0
127.0,138.46945245872374,0.0
128.0,138.46945245872374,0.0
129.0,138.46945245872374,0.0
130.0,138.46945245872374,0.0
131.0,140.68626943011049,0.0
132.0,140.68626943011049,0.0
133.0,140.68626943011049,0.0
134.0,140.68626943011049,0.0
135.0,140.68626943011049,0.0
136.0,140.68626943011049,0.0
137.0,140.68626943011049,0.0
138.0,140.68626943011049,0.0
139.0,140.68626943011049,0.0
140.0,140.68626943011049,0.0
141.0,140.68626943011049,0.0
142.0,140.68626943011049,0.0
143.0,140.68626943011049,0.0
144.0,140.68626943011049,0.0
145.0,140.68626943011049,0.0
146.0,140.68626943011049,0.0
147.0,140.68626943011049,0.0
148.0,140.68626943011049,0.0
149.0,140.68626943011049,0.0
150.0,140.68626943011049,0.0
151.0,140.68626943011049,0.0
152.0,140.68626943011049,0.0
153.0,140.68626943011049,0.0
154.0,140.68626943011049,0.0
155.0,140.68626943011049,0.0
156.0,140.68626943011049,0.0
157.0,140.68626943011049,0.0
158.0,140.68626943011049,0.0
159.0,140.68626943011049,0.0
160.0,140.68626943011049,0.0
161.0,140.68626943011049,0.0
162.0,140.68626943011049,0.0
163.0,140.68626943011049,0.0
164.0,140.68626943011049,0.0
165.0,140.68626943011049,0.0
166.0,140.68626943011049,0.0
167.0,140.68626943011049,0.0
168.0,140.68626943011049,0.0
169.0,140.68626943011049,0.0
170.0,140.68626943011049,0.0
171.0,140.68626943011049,0.0
172.0,140.68626943011049,0.0
173.0,140.68626943011049,0.0
174.0,140.68626943011049,0.0
175.0,140.68626943011049,0.0
176.0,140.68626943011049,0.0
177.0,140.68626943011049,0.0
178.0,140.68626943011049,0.0
179.0,140.68626943011049,0.0
180.0,140.68626943011049,0.0
181.0,140.68626943011049,0.0
182.0,140.68626943011049,0.0
183.0,140.68626943011049,0.0
184.0,140.68626943011049,0.0
185.0,140.68626943011049,0.0
186.0,140.68626943011049,0.0
187.0,140.68626943011049,0.0
188.0,140.68626943011049,0.0
189.0,140.68626943011049,0.0
190.0,140.68626943011049,0.0
191.0,140.68626943011049,0.0
192.0,140.68626943011049,0.0
193.0,140.68626943011049,0.0
194.0,140.68626943011049,0.0
195.0,140.68626943011049,0.0
196.0,140.68626943011049,0.0
197.0,140.68626943011049,0.0
198.0,140.68626943011049,0.0
199.0,140.68626943011049,0.0
200.0,140.68626943011049,0.0
1.0,140.68626943011049,1.0
2.0,132.3302223341819,1.0
3.0,132.56932896732937,1.0
4.0,133.6546451165691,1.0
5.0,133.6546451165691,1.0
6.0,133.6546451165691,1.0
7.0,135.2489640087222,1.0
8.0,135.2489640087222,1.0
9.0,135.2489640087222,1.0
10.0,135.2489640087222,1.0
11.0,136.85063014984223,1.0
12.0,136.3576912065901,1.0
13.0,136.3576912065901,1.0
14.0,136.3576912065901,1.0
15.0,136.3576912065901,1.0
16.0,136.8272612209758,1.0
17.0,136.8272612209758,1.0
18.0,136.8272612209758,1.0
19.0,136.8272612209758,1.0
20.0,136.8272612209758,1.0
21.0,136.8272612209758,1.0
22.0,136.8272612209758,1.0
23.0,136.8272612209758,1.0
24.0,136.8272612209758,1.0
25.0,136.8272612209758,1.0
26.0,136.8272612209758,1.0
27.0,136.8272612209758,1.0
28.0,136.8272612209758,1.0
29.0,138.15535383793497,1.0
30.0,138.15535383793497,1.0
31.0,138.15535383793497,1.0
32.0,138.15535383793497,1.0
33.0,138.15535383793497,1.0
34.0,138.15535383793497,1.0
35.0,138.15535383793497,1.0
36.0,138.15535383793497,1.0
37.0,138.15535383793497,1.0
38.0,139.61840034636106,1.0
39.0,139.61840034636106,1.0
40.0,139.61840034636106,1.0
41.0,139.61840034636106,1.0
42.0,140.20784023307087,1.0
43.0,140.20784023307087,1.0
44.0,140.20784023307087,1.0
45.0,140.20784023307087,1.0
46.0,140.20784023307087,1.0
47.0,140.20784023307087,1.0
48.0,140.20784023307087,1.0
49.0,140.20784023307087,1.0
50.0,140.20784023307087,1.0
51.0,140.20784023307087,1.0
52.0,140.20784023307087,1.0
53.0,140.20784023307087,1.0
54.0,140.20784023307087,1.0
55.0,140.20784023307087,1.0
56.0,140.20784023307087,1.0
57.0,140.20784023307087,1.0
58.0,140.20784023307087,1.0
59.0,140.20784023307087,1.0
60.0,140.20784023307087,1.0
